8,0
9,0
10,1
13,1
14,1
15,0
18,0
19,0
27,1
28,0
29,0
37,0
38,0
39,0
40,1
41,1
42,1
51,1
57,0
58,1
59,0
60,0
61,0
62,1
63,1
64,0
65,0
66,0
67,1
78,1
79,0
80,1
91,0
92,0
93,1
94,0
95,0
96,0
102,0
103,0
110,0
112,1
114,1
116,0
117,0
118,0
122,0
123,0
124,0
158,0
159,0
160,0
161,0
205,0
206,0
225,0
226,0
239,0
240,0
244,0
271,0
272,0
273,1
274,0
290,0
291,0
292,0
294,1
300,0
304,0
316,0
317,0
323,0
326,0
329,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
353,0
354,0
367,0
368,0
374,0
375,0
376,0
377,0
378,0
383,0
386,0
387,0
388,0
400,0
404,1
405,0
406,1
407,1
408,1
409,0
410,0
411,0
412,1
413,1
417,0
418,0
419,1
420,0
435,0
436,1
437,1
440,0
455,0
456,0
457,0
462,0
463,0
464,0
465,0
475,0
476,0
491,0
492,1
493,1
